"Label (Grouping)","Memphis, TN-MS-AR Metro Area!!Estimate","Memphis, TN-MS-AR Metro Area!!Margin of Error"
"Total:","29,038","±727"
"    Income in the past 12 months below poverty level:","2,689","±644"
"        Under 6 years","135","±128"
"        6 to 11 years","145","±105"
"        12 to 17 years","173","±104"
"        18 to 59 years","1,424","±388"
"        60 to 74 years","487","±186"
"        75 to 84 years","50","±45"
"        85 years and over","275","±141"
"    Income in the past 12 months at or above poverty level:","26,349","±890"
"        Under 6 years","1,965","±258"
"        6 to 11 years","2,096","±327"
"        12 to 17 years","2,196","±331"
"        18 to 59 years","16,639","±543"
"        60 to 74 years","2,841","±307"
"        75 to 84 years","522","±152"
"        85 years and over","90","±58"