ZIP,Poverty_Rate
37010,4.8
37012,7.9
37013,16
37014,10.3
37015,11.6
37016,9.7
37018,16.9
37019,5.2
37020,8
37022,22.6
37023,17
37025,18.8
37026,10.6
37027,3.2
37028,0.7
37029,4.5
37030,19.2
37031,7.8
37032,5.7
37033,13.6
37034,8.7
37035,6.1
37036,22.5
37037,1.3
37040,17.2
37042,14.3
37043,6.2
37046,2.5
37047,22.6
37048,3.8
37049,5.4
37050,14.7
37051,11.3
37052,7.3
37055,13.3
37057,23.8
37058,13.2
37059,36.4
37060,6.1
37061,13.7
37062,7.8
37064,7.1
37066,12.5
37067,5
37069,3.6
37072,10.6
37073,8.5
37074,8.6
37075,7.1
37076,10
37078,4.4
37079,12.1
37080,15.1
37082,9.7
37083,14.4
37085,13.3
37086,12.6
37087,11
37090,9.8
37091,19.5
37095,27.7
37096,25.4
37097,18.2
37098,15
37101,13.6
37110,21
37115,13.2
37118,5.9
37122,4.6
37127,11.6
37128,4.8
37129,8.7
37130,19.9
37134,13.1
37135,1.4
37137,19.5
37138,8.4
37140,10.9
37141,9.5
37142,3.4
37143,5.5
37144,7.7
37145,18.8
37146,9
37148,11.9
37149,12.2
37150,28.4
37151,7.4
37153,8.5
37160,15.3
37165,25.8
37166,19.8
37167,9.2
37171,32.2
37172,15.4
37174,3.1
37175,22.5
37178,13.4
37179,4.3
37180,4
37181,8.3
37183,14.4
37184,19.5
37185,17.8
37186,18.7
37187,9.1
37188,6.8
37189,10.3
37190,15
37191,1.8
37201,20.1
37203,22.2
37204,7.4
37205,5.2
37206,20
37207,22.1
37208,29.3
37209,14.7
37210,28.8
37211,16.6
37212,12.7
37213,0
37214,7.7
37215,5.5
37216,7.8
37217,18.5
37218,19
37219,0
37220,2
37221,6.2
37228,16.1
37301,15
37302,14.9
37303,18.6
37305,14
37306,13.4
37307,9
37308,10.2
37309,10.3
37310,13.6
37311,22.8
37312,13.4
37313,24.5
37317,15.7
37318,23.2
37321,19.1
37322,16.1
37323,12.6
37324,19.4
37325,10.3
37326,40.2
37327,19.1
37328,16.5
37329,16.9
37330,16.6
37331,16.7
37332,11.8
37333,27.8
37334,10.5
37335,17.3
37336,8.2
37337,13.6
37338,20.8
37339,19.9
37340,13.5
37341,9.7
37342,25.6
37343,6.8
37345,6.4
37347,17.1
37348,33.4
37350,2.1
37351,16.4
37352,11.1
37353,15.9
37354,17.2
37355,12.3
37356,25.9
37357,13.5
37359,14.1
37360,3.6
37361,3.7
37362,19.7
37363,5.5
37365,27
37366,8.4
37367,18.3
37369,4.9
37370,12.2
37373,4.2
37374,18.8
37375,11.8
37376,34.6
37377,5.4
37379,8.7
37380,26.6
37381,15.7
37385,17.1
37387,10.8
37388,14.2
37391,11.1
37394,5.8
37396,0
37397,15
37398,15.4
37402,40.7
37403,32
37404,25.7
37405,12.3
37406,31.5
37407,42
37408,16.2
37409,13.1
37410,45.5
37411,13.6
37412,13.4
37415,10.3
37416,8
37419,13.9
37421,10
37601,20.3
37604,21.9
37615,10.8
37616,19.4
37617,6
37618,17.6
37620,17.6
37640,16.7
37641,12.3
37642,11.8
37643,20.4
37645,6.8
37650,17.3
37656,8.1
37657,20.3
37658,13
37659,6.5
37660,21.8
37663,9.1
37664,12.6
37665,25.8
37680,15.3
37681,12
37682,0
37683,27.3
37686,6.7
37687,19.4
37688,16.5
37690,9.1
37691,8.4
37692,14.5
37694,22.7
37701,8
37705,10.1
37708,16
37709,10.7
37710,40.4
37711,25.6
37713,29.7
37714,15.6
37715,46.3
37716,11.9
37719,2.7
37721,10.4
37722,16.6
37723,18.6
37724,21.7
37725,8.4
37726,22.1
37727,16.9
37729,26.4
37730,0
37731,15.2
37732,0
37733,32.4
37737,9.2
37738,18.9
37742,7.2
37743,18
37745,13.1
37748,15.3
37752,19.8
37753,32.5
37754,12
37755,19
37756,29.1
37757,12.1
37760,18.3
37762,29.6
37763,11.3
37764,11.6
37765,31.9
37766,22.8
37769,22.3
37770,20.2
37771,19.6
37772,10.7
37774,7.2
37777,9.9
37779,21.4
37801,12
37803,7.6
37804,9.9
37806,11.2
37807,18.4
37809,20.5
37810,33.4
37811,17.7
37813,24
37814,15.8
37818,22.5
37819,21.5
37820,18.2
37821,22.1
37825,17.5
37826,11.7
37828,2.3
37829,22.7
37830,15.6
37840,17.2
37841,24.6
37843,17.3
37845,46
37846,14.6
37847,23.4
37848,10.7
37849,8.8
37851,0
37852,9.9
37853,16.6
37854,17.5
37857,19.9
37860,9.7
37861,19
37862,17.8
37863,20.8
37865,10
37866,13.8
37869,31.7
37870,27.2
37871,6.3
37872,24.7
37873,22.1
37874,18.9
37876,12
37877,11.1
37878,3.1
37879,27.5
37880,18.1
37881,19.3
37882,9.4
37885,10.4
37886,15.8
37887,23.8
37888,16.7
37890,12.2
37891,21.2
37892,22.4
37902,22.6
37909,16.8
37912,21.8
37914,19.7
37915,53.1
37916,60.6
37917,22.8
37918,11.5
37919,10.2
37920,19.2
37921,18.4
37922,3.2
37923,9.8
37924,9
37931,4.7
37932,7.5
37934,4.2
37938,6.9
38001,14.6
38002,5.2
38004,5
38006,14.1
38007,58
38008,21.7
38011,9.1
38012,19.4
38015,14.7
38016,9.5
38017,2.9
38018,6.6
38019,17.5
38021,0
38023,10.6
38024,17.7
38028,3.2
38029,0
38030,13.5
38034,27.8
38036,45.1
38037,30.6
38039,11.9
38040,17.5
38041,22.3
38042,7.3
38044,9.4
38046,10
38047,0
38049,12.7
38050,12.8
38052,17
38053,13.4
38054,0
38057,20.2
38058,10.6
38059,18.4
38060,3.9
38061,21.4
38063,20
38066,6.9
38067,18.2
38068,22.7
38069,10.6
38070,12.8
38075,11.1
38076,11.4
38077,0
38079,31.6
38080,27.9
38103,12.4
38104,18.2
38105,39.3
38106,40.2
38107,31
38108,37.4
38109,28.4
38111,25.2
38112,28.8
38114,34.7
38115,24.8
38116,27.2
38117,8.2
38118,33
38119,8.7
38120,7.4
38122,29.2
38125,8.5
38126,63.6
38127,42.3
38128,27
38133,5.9
38134,15.5
38135,5.5
38138,3.9
38139,0.5
38141,12.7
38201,19
38220,15.5
38221,13.3
38222,20
38224,22.4
38225,13.7
38226,41.3
38229,11
38230,19
38231,19.8
38232,15.4
38233,13.9
38235,4.3
38236,10.5
38237,22.3
38240,25.4
38241,6.6
38242,21.9
38251,22.7
38253,14.3
38254,0
38255,20.9
38256,11.3
38257,16.1
38258,25.1
38259,16.6
38260,11.4
38261,21.2
38301,29.5
38305,16.5
38310,17.2
38311,6
38313,14.1
38315,21.2
38316,12.6
38317,13.4
38318,11.3
38320,17.4
38321,14
38326,9.4
38327,27.9
38328,2.3
38329,12
38330,16.9
38332,4
38333,25.3
38334,12.3
38337,12.1
38339,19.6
38340,15
38341,17.1
38342,13.1
38343,18.3
38344,25.1
38345,11.8
38347,19.7
38348,13.3
38351,21.2
38352,11.6
38355,3.7
38356,8.4
38357,19.5
38358,16.1
38359,12.8
38361,15.7
38362,3.1
38363,20.4
38366,6.2
38367,11.1
38368,16
38369,11.5
38370,19.3
38371,14.9
38372,18.8
38374,32.9
38375,18.7
38376,39.1
38379,27.6
38380,17.2
38381,27.2
38382,17.6
38387,6.2
38388,12
38390,11.8
38391,9.8
38392,0.3
38401,10.1
38425,25.8
38449,15.3
38450,15.2
38451,5.9
38452,15.6
38453,6.4
38454,3.5
38455,10.4
38456,16
38457,16.9
38459,1.4
38460,12.1
38461,13.4
38462,20.2
38463,16.6
38464,18.8
38468,14.7
38469,14.5
38471,15.9
38472,7.6
38473,11.6
38474,13.4
38475,1.6
38476,3
38477,10.3
38478,14.9
38481,13.9
38482,4.8
38483,13.1
38485,14.2
38486,11.3
38487,3.8
38488,9.6
38501,21.1
38504,12.7
38506,13.4
38541,20.8
38542,0
38543,13
38544,16.3
38545,14.9
38547,13.3
38548,9
38549,22
38551,31.2
38552,3.6
38553,6.8
38554,35
38555,16.8
38556,20.6
38558,9.8
38559,13.1
38560,19.4
38562,17.1
38563,6.9
38564,24.3
38565,15.3
38567,18.4
38568,13.8
38569,0
38570,20.2
38571,10.5
38572,10.6
38573,9.8
38574,20.8
38575,14.4
38577,17.1
38578,3
38579,32.9
38580,21
38581,22.7
38582,8.1
38583,13.3
38585,15.6
38587,31.7
38588,12.1
38589,2.1
42223,10.5
42602,22.2
72338,0
