"Label (Grouping)","Shelby County, Tennessee!!Estimate","Shelby County, Tennessee!!Margin of Error"
"Total:","323,948","±1,774"
"    Income in the past 12 months below poverty level:","25,226","±1,794"
"        Under 6 years","1,534","±374"
"        6 to 11 years","1,311","±333"
"        12 to 17 years","1,387","±320"
"        18 to 59 years","15,912","±1,350"
"        60 to 74 years","2,881","±365"
"        75 to 84 years","1,148","±278"
"        85 years and over","1,053","±337"
"    Income in the past 12 months at or above poverty level:","298,722","±2,431"
"        Under 6 years","17,294","±671"
"        6 to 11 years","17,630","±817"
"        12 to 17 years","20,392","±952"
"        18 to 59 years","158,321","±1,798"
"        60 to 74 years","60,485","±1,974"
"        75 to 84 years","17,239","±676"
"        85 years and over","7,361","±621"