"Label (Grouping)","Tennessee!!Estimate","Tennessee!!Margin of Error"
"Total:","120,209","±1,816"
"    Income in the past 12 months below poverty level:","12,185","±1,360"
"        Under 6 years","703","±234"
"        6 to 11 years","786","±237"
"        12 to 17 years","991","±250"
"        18 to 59 years","7,985","±986"
"        60 to 74 years","1,310","±393"
"        75 to 84 years","104","±52"
"        85 years and over","306","±144"
"    Income in the past 12 months at or above poverty level:","108,024","±2,015"
"        Under 6 years","8,289","±547"
"        6 to 11 years","8,657","±650"
"        12 to 17 years","8,422","±603"
"        18 to 59 years","67,560","±1,488"
"        60 to 74 years","11,749","±665"
"        75 to 84 years","2,711","±303"
"        85 years and over","636","±212"