GEO_ID,occupied,owned,rented,percent_rented
47157000100,3090,1044,2046,66.2135922330097
47157000200,389,71,318,81.7480719794344
47157000300,343,116,227,66.1807580174927
47157000400,554,218,336,60.6498194945848
47157000600,789,420,369,46.7680608365019
47157000700,2030,974,1056,52.0197044334975
47157000800,864,343,521,60.3009259259259
47157000900,1165,460,705,60.5150214592275
47157001100,1094,483,611,55.8500914076783
47157001200,1405,663,742,52.8113879003559
47157001300,1275,530,745,58.4313725490196
47157001400,608,232,376,61.8421052631579
47157001500,674,401,273,40.5044510385757
47157001600,956,613,343,35.8786610878661
47157001700,1752,943,809,46.175799086758
47157001900,460,245,215,46.7391304347826
47157002000,684,240,444,64.9122807017544
47157002100,646,143,503,77.8637770897833
47157002400,922,176,746,80.9110629067245
47157002500,1114,529,585,52.5134649910233
47157002600,1206,676,530,43.9469320066335
47157002700,709,271,438,61.7771509167842
47157002800,1326,499,827,62.36802413273
47157002900,2087,1655,432,20.6995687589842
47157003000,1387,630,757,54.5782263878875
47157003100,1654,898,756,45.7073760580411
47157003200,2045,382,1663,81.320293398533
47157003300,1137,817,320,28.1442392260334
47157003400,1216,369,847,69.6546052631579
47157003500,1500,824,676,45.0666666666667
47157003600,920,121,799,86.8478260869565
47157003700,818,3,815,99.6332518337408
47157003800,635,0,635,100
47157003900,1011,9,1002,99.1097922848665
47157004200,2015,477,1538,76.3275434243176
47157004300,1252,582,670,53.5143769968051
47157004500,331,67,264,79.7583081570997
47157004600,695,93,602,86.6187050359712
47157005000,337,36,301,89.3175074183976
47157005300,1333,603,730,54.7636909227307
47157005500,839,360,479,57.0917759237187
47157005600,1564,859,705,45.076726342711
47157005700,804,402,402,50
47157005800,333,84,249,74.7747747747748
47157005900,855,439,416,48.6549707602339
47157006000,772,376,396,51.2953367875648
47157006200,660,383,277,41.969696969697
47157006300,1174,578,596,50.7666098807496
47157006400,726,426,300,41.3223140495868
47157006500,929,357,572,61.5715823466093
47157006600,1153,383,770,66.7823070251518
47157006700,1144,391,753,65.8216783216783
47157006800,941,456,485,51.5409139213603
47157006900,990,579,411,41.5151515151515
47157007000,1278,333,945,73.943661971831
47157007100,1054,836,218,20.6831119544592
47157007200,1371,922,449,32.7498176513494
47157007300,1508,259,1249,82.8249336870027
47157007400,1275,420,855,67.0588235294118
47157007500,532,310,222,41.7293233082707
47157007810,935,347,588,62.8877005347594
47157007821,2025,940,1085,53.5802469135802
47157007822,681,312,369,54.1850220264317
47157007900,2238,980,1258,56.2109025915996
47157008000,2109,861,1248,59.1749644381223
47157008110,878,296,582,66.2870159453303
47157008120,1944,981,963,49.537037037037
47157008200,1567,515,1052,67.1346522016592
47157008500,1793,1486,307,17.122141662019
47157008600,2288,1708,580,25.3496503496503
47157008700,1955,1200,755,38.618925831202
47157008800,1958,898,1060,54.1368743615935
47157008900,1199,454,745,62.1351125938282
47157009100,856,296,560,65.4205607476635
47157009200,3130,2482,648,20.702875399361
47157009300,1960,1498,462,23.5714285714286
47157009400,1568,1061,507,32.3341836734694
47157009500,2725,2216,509,18.6788990825688
47157009600,1927,1642,285,14.7898287493513
47157009700,947,561,386,40.7602956705385
47157009800,1137,621,516,45.3825857519789
47157009901,1029,464,565,54.9076773566569
47157009902,805,372,433,53.7888198757764
47157010000,2596,1271,1325,51.040061633282
47157010110,1933,741,1192,61.6658044490429
47157010120,1844,692,1152,62.472885032538
47157010210,1876,968,908,48.4008528784648
47157010220,2643,1283,1360,51.4566780174045
47157010300,452,203,249,55.0884955752212
47157010500,479,147,332,69.3110647181628
47157010610,1963,913,1050,53.4895568008151
47157010620,1242,208,1034,83.2528180354267
47157010630,1374,298,1076,78.311499272198
47157010710,1596,984,612,38.3458646616541
47157010720,1533,493,1040,67.8408349641226
47157010810,1969,812,1157,58.7607922803454
47157010820,1534,956,578,37.6792698826597
47157011010,1316,899,417,31.6869300911854
47157011020,553,289,264,47.7396021699819
47157011100,640,290,350,54.6875
47157011200,689,194,495,71.8432510885341
47157011300,744,109,635,85.3494623655914
47157011400,1445,41,1404,97.1626297577855
47157011500,1080,356,724,67.037037037037
47157011600,836,160,676,80.8612440191387
47157011700,568,284,284,50
47157011800,1946,835,1111,57.0914696813978
47157020101,1320,814,506,38.3333333333333
47157020102,1112,935,177,15.9172661870504
47157020210,2091,1204,887,42.4198947871832
47157020221,1039,821,218,20.9817131857555
47157020222,1012,728,284,28.0632411067194
47157020300,2394,1391,1003,41.8964076858814
47157020400,350,17,333,95.1428571428571
47157020511,762,627,135,17.7165354330709
47157020512,2294,828,1466,63.9058413251962
47157020521,1264,401,863,68.2753164556962
47157020523,957,255,702,73.3542319749216
47157020524,1603,890,713,44.4791016843419
47157020531,1683,869,814,48.3660130718954
47157020532,2310,1243,1067,46.1904761904762
47157020541,1789,985,804,44.9413079932923
47157020542,2363,321,2042,86.4155734236141
47157020610,1744,537,1207,69.2087155963303
47157020621,3090,1179,1911,61.8446601941748
47157020622,1624,1015,609,37.5
47157020632,1883,1723,160,8.49707912904939
47157020633,1137,964,173,15.2154793315743
47157020634,1128,1011,117,10.3723404255319
47157020635,936,836,100,10.6837606837607
47157020642,3355,3067,288,8.58420268256334
47157020643,2969,2550,419,14.1124957898282
47157020644,3350,2394,956,28.5373134328358
47157020651,2397,1628,769,32.0817688777639
47157020652,1817,1447,370,20.3632361034672
47157020700,797,691,106,13.2998745294856
47157020810,1036,962,74,7.14285714285714
47157020820,2769,2625,144,5.20043336944745
47157020831,1472,969,503,34.1711956521739
47157020832,3083,2620,463,15.0178397664612
47157020900,2915,2567,348,11.9382504288165
47157021010,5964,3539,2425,40.6606304493628
47157021020,2180,1718,462,21.1926605504587
47157021111,1519,537,982,64.6477946017117
47157021112,2438,1461,977,40.0738310090238
47157021113,1438,887,551,38.317107093185
47157021121,2606,583,2023,77.6285495011512
47157021122,2322,905,1417,61.0249784668389
47157021124,2581,1517,1064,41.2243316543975
47157021125,1891,1122,769,40.6663141195135
47157021126,2019,725,1294,64.0911342248638
47157021135,2837,1145,1692,59.6404652802256
47157021136,1872,1544,328,17.5213675213675
47157021137,3394,2075,1319,38.8626988803771
47157021138,1442,887,555,38.4882108183079
47157021139,1435,1324,111,7.73519163763066
47157021140,2124,1211,913,42.984934086629
47157021141,2740,1694,1046,38.1751824817518
47157021142,1731,794,937,54.1305603697285
47157021311,2115,1534,581,27.4704491725768
47157021312,1148,479,669,58.2752613240418
47157021320,2434,1392,1042,42.810188989318
47157021331,1329,1131,198,14.8984198645598
47157021333,1624,998,626,38.5467980295566
47157021334,1677,372,1305,77.8175313059034
47157021341,1996,1716,280,14.0280561122245
47157021342,4506,1770,2736,60.7190412782956
47157021351,1951,1455,496,25.4228600717581
47157021352,2367,2139,228,9.63244613434727
47157021353,3213,3197,16,0.497976968565204
47157021410,1124,874,250,22.2419928825623
47157021420,1368,1145,223,16.3011695906433
47157021430,1705,1342,363,21.2903225806452
47157021510,3455,1722,1733,50.1591895803184
47157021520,5005,2901,2104,42.037962037962
47157021530,1911,1705,206,10.7796964939822
47157021540,4075,3430,645,15.8282208588957
47157021611,2206,1746,460,20.8522212148685
47157021612,1643,1578,65,3.9561777236762
47157021613,1514,1461,53,3.50066050198151
47157021620,1113,590,523,46.9901168014376
47157021710,1303,264,1039,79.7390636991558
47157021721,1990,278,1712,86.0301507537688
47157021724,921,266,655,71.1183496199783
47157021725,2282,41,2241,98.2033304119194
47157021726,2116,220,1896,89.6030245746692
47157021731,827,237,590,71.3422007255139
47157021732,2741,585,2156,78.6574242977016
47157021741,2766,1716,1050,37.9609544468547
47157021744,2033,1560,473,23.2661091982292
47157021745,2553,2147,406,15.9028593811203
47157021746,1931,769,1162,60.1760745727602
47157021747,1261,847,414,32.8310864393339
47157021751,2251,1786,465,20.6574855619725
47157021752,1750,1025,725,41.4285714285714
47157021753,1074,892,182,16.9459962756052
47157021754,1556,1110,446,28.6632390745501
47157021900,1801,1080,721,40.0333148250972
47157022022,1300,261,1039,79.9230769230769
47157022023,635,301,334,52.5984251968504
47157022024,1256,983,273,21.7356687898089
47157022111,2148,875,1273,59.2644320297952
47157022112,2430,645,1785,73.4567901234568
47157022121,1621,1172,449,27.6989512646514
47157022122,1533,764,769,50.1630789302022
47157022130,1980,1285,695,35.1010101010101
47157022210,1473,961,512,34.7589952477936
47157022220,1346,698,648,48.1426448736999
47157022310,2061,877,1184,57.4478408539544
47157022321,1384,954,430,31.0693641618497
47157022322,1651,1351,300,18.1708055723804
47157022330,1767,1143,624,35.3140916808149
47157022410,2238,1710,528,23.5924932975871
47157022500,1674,910,764,45.6391875746714
47157022600,1331,533,798,59.9549211119459
47157022700,2584,1548,1036,40.0928792569659
